"X","Service.Request.Type","City.Department","Created.Date","Date","Time","Location","Latitude","Longitude","Latitude.Longitude","ZIP.Code","Police.Precinct","Neighborhood"
45196,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","04/29/2021 08:23:47 AM","2021-04-29","08:23:47","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
296698,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","08/02/2022 06:08:35 PM","2022-08-02","06:08:35","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
298498,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","08/04/2022 08:38:44 PM","2022-08-04","08:38:44","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
298517,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","08/04/2022 08:36:43 PM","2022-08-04","08:36:43","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
320994,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","09/01/2022 06:54:58 PM","2022-09-01","06:54:58","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
336108,"Street Sign and Traffic Signal Maintenance","SDOT-Seattle Department of Transportation","09/20/2022 02:10:45 PM","2022-09-20","02:10:45","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
484996,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","05/08/2023 07:36:51 AM","2023-05-08","07:36:51","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
655828,"Abandoned Vehicle/72hr Parking Ordinance","SPD-Seattle Police Department","12/28/2023 01:20:27 PM","2023-12-28","01:20:27","4500 LAKE WASHINGTON BLVD S, SEATTLE, WA 98118",47.56351655,-122.26694563,"POINT (-122.26694563 47.56351655)","98118","SOUTH","OOO"
800344,"Scooter or Bike Share Issue","SDOT-Seattle Department of Transportation","07/11/2024 10:28:51 AM","2024-07-11","10:28:51","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
800532,"General Inquiry - Transportation","SDOT-Seattle Department of Transportation","07/11/2024 01:30:12 PM","2024-07-11","01:30:12","3110 NW 54TH ST, SEATTLE, WA 98107",47.66559096,-122.39673022,"POINT (-122.39673022 47.66559096)","98107","NORTH","OOO"
809631,"Graffiti","SPU-Seattle Public Utilities","07/22/2024 06:39:45 AM","2024-07-22","06:39:45","4500 LAKE WASHINGTON BLVD S, SEATTLE, WA 98118",47.56351655,-122.26694563,"POINT (-122.26694563 47.56351655)","98118","SOUTH","OOO"
809990,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","07/22/2024 11:08:45 AM","2024-07-22","11:08:45","4500 LAKE WASHINGTON BLVD S, SEATTLE, WA 98118",47.56351655,-122.26694563,"POINT (-122.26694563 47.56351655)","98118","SOUTH","OOO"
823959,"Parks and Recreation Maintenance","SPR-Seattle Parks and Recreation","08/06/2024 07:23:08 AM","2024-08-06","07:23:08","4500 LAKE WASHINGTON BLVD S, SEATTLE, WA 98118",47.56351655,-122.26694563,"POINT (-122.26694563 47.56351655)","98118","SOUTH","OOO"
